Content,Video title,Video publish time,Views,Watch time (hours),Subscribers
Total,,,191389,566.8788,496
VLP3kKeNYzo,Is he a 🌄 cat or night 🦉? | #catofegypt #shorts #cats,"Sep 27, 2022",28631,85.4885,62
t6BXkEw6L9I,Cat of Egypt: Carrying Your Love with me | #catofegypt #shorts #cats #carryingyourlove,"Aug 17, 2022",18977,44.922,38
HYUesufltL8,"Cat of Egypt: Hello, mom you forgot to refill my treats | #catofegypt #shorts #cats","Sep 23, 2022",9701,26.7575,29
veIUCvSYkos,Put an Ice cube on your pet to see their Reaction|#shorts #catofegypt #cats #reaction,"Sep 3, 2022",5259,20.945,8
Nngda4gKb18,Cat of Egypt remixes Usher's beat | #catofegypt #shorts #cats,"Sep 15, 2022",4506,15.3169,32
qkD5eaavm00,Cat of egypt: Cat starts scratching | #catofegypt #shorts #cats,"Aug 26, 2022",4912,13.9302,17
4eJ5GPfN0fI,It's SPOOKY SZN 👻🎃😈  Will you choose him? | #catofegypt #shorts #cats,"Oct 25, 2022",4159,12.7688,17
WsU_RsRZuyQ,Mom be going gaga😭 when she can't find her only comfort 🐱| #catofegypt #shorts #cats,"Oct 14, 2022",3349,9.0439,9
7OcxYMxXGsQ,Cat of Egypt: I don't Love You...| #catofegypt #shorts #cats,"Sep 18, 2022",2072,8.6172,3
IOi_EsZesRs,Cat of Egypt's trick to win people over | #catofegypt #shorts #cats,"Sep 29, 2022",3511,8.4731,15
XhY2jh1fhz4,POV: Your caet listens to you🥰♥️🥺🤌 | #shorts #catofegypt #cats,"Nov 7, 2022",2652,8.0543,11
NsvrxePM5cQ,Cuteness of Caet= Aggressive Petting 😤♥️🤌 | #catofegypt #shorts #cats,"Oct 16, 2022",3134,7.8076,2
9_Iz3f7_-M4,He is cute but...| #catofegypt #shorts #cats,"Sep 30, 2022",3685,7.7903,25
3lmo6PLQbfs,Just when I thought I could outsmart him😤| #catofegypt #shorts #cats,"Oct 1, 2022",2209,7.2151,10
SqNMhtdI0BM,Cat of Egypt: Indulges in playing?| #catofegypt #shorts #cats,"Sep 1, 2022",2505,7.0954,6
YfENoLa3Akk,Cat of Egypt: is unbothered about everything😊 | #catofegypt  #shorts  #cats,"Sep 24, 2022",1990,6.9904,10
J4Od7VZhEVw,Cat of Egypt: Slay×Krono dancin remix| #catofegypt #shorts #cats #krono #dancinkronoremix,"Apr 3, 2022",1680,6.9824,5
