content,video_title,video_publish_time,views,watch_time_hours,subscribers,year,month,day_name,views_per_subscribers,engagement
VLP3kKeNYzo,Is he a 🌄 cat or night 🦉? | #catofegypt #shorts #cats,2022-09-27,28631,85.4885,62,2022,9,Tuesday,461.7903225806452,0.002985871956969718
t6BXkEw6L9I,Cat of Egypt: Carrying Your Love with me | #catofegypt #shorts #cats #carryingyourlove,2022-08-17,18977,44.922,38,2022,8,Wednesday,499.39473684210526,0.0023671813247615535
HYUesufltL8,"Cat of Egypt: Hello, mom you forgot to refill my treats | #catofegypt #shorts #cats",2022-09-23,9701,26.7575,29,2022,9,Friday,334.51724137931035,0.0027582208019791775
veIUCvSYkos,Put an Ice cube on your pet to see their Reaction|#shorts #catofegypt #cats #reaction,2022-09-03,5259,20.945,8,2022,9,Saturday,657.375,0.00398269633010078
qkD5eaavm00,Cat of egypt: Cat starts scratching | #catofegypt #shorts #cats,2022-08-26,4912,13.9302,17,2022,8,Friday,288.94117647058823,0.0028359527687296417
Nngda4gKb18,Cat of Egypt remixes Usher's beat | #catofegypt #shorts #cats,2022-09-15,4506,15.3169,32,2022,9,Thursday,140.8125,0.0033992232578783843
4eJ5GPfN0fI,It's SPOOKY SZN 👻🎃😈  Will you choose him? | #catofegypt #shorts #cats,2022-10-25,4159,12.7688,17,2022,10,Tuesday,244.64705882352942,0.003070161096417408
9_Iz3f7_-M4,He is cute but...| #catofegypt #shorts #cats,2022-09-30,3685,7.7903,25,2022,9,Friday,147.4,0.002114056987788331
IOi_EsZesRs,Cat of Egypt's trick to win people over | #catofegypt #shorts #cats,2022-09-29,3511,8.4731,15,2022,9,Thursday,234.06666666666666,0.0024133010538308175
WsU_RsRZuyQ,Mom be going gaga😭 when she can't find her only comfort 🐱| #catofegypt #shorts #cats,2022-10-14,3349,9.0439,9,2022,10,Friday,372.1111111111111,0.002700477754553598
NsvrxePM5cQ,Cuteness of Caet= Aggressive Petting 😤♥️🤌 | #catofegypt #shorts #cats,2022-10-16,3134,7.8076,2,2022,10,Sunday,1567.0,0.002491257179323548
XhY2jh1fhz4,POV: Your caet listens to you🥰♥️🥺🤌 | #shorts #catofegypt #cats,2022-11-07,2652,8.0543,11,2022,11,Monday,241.0909090909091,0.0030370663650075413
SqNMhtdI0BM,Cat of Egypt: Indulges in playing?| #catofegypt #shorts #cats,2022-09-01,2505,7.0954,6,2022,9,Thursday,417.5,0.0028324950099800398
gRynxbt2uko,The number you're trying to call is currently meowing 🥰🐱😍 | #shorts #catofegypt #cats,2022-11-07,2452,5.5092,3,2022,11,Monday,817.3333333333334,0.0022468189233278957
-5uwBSzaZAM,"Cat of Egypt: He shows emotion, mostly violence 🥲 | #catofegypt #shorts #cats",2022-09-08,2317,6.2093,8,2022,9,Thursday,289.625,0.002679887785930082
3lmo6PLQbfs,Just when I thought I could outsmart him😤| #catofegypt #shorts #cats,2022-10-01,2209,7.2151,10,2022,10,Saturday,220.9,0.0032662290629244
HFgeBV1JxNw,Cat of Egypt: If you Hate cats...| #shorts #catofegypt #cats #tiktok #catvideos,2022-04-24,2195,6.886,5,2022,4,Sunday,439.0,0.003137129840546697
2DKvv1sz0Cw,Cat of Egypt: 99% Angel but 1% Trouble | #catofegypt #shorts #cats,2022-09-05,2136,6.399,7,2022,9,Monday,305.14285714285717,0.0029957865168539328
7OcxYMxXGsQ,Cat of Egypt: I don't Love You...| #catofegypt #shorts #cats,2022-09-18,2072,8.6172,3,2022,9,Sunday,690.6666666666666,0.004158880308880309
Ttr13Mvjx6U,"Cat of Egypt: You don't rule the rules, I Do | #catofegypt #shorts #cats",2022-09-13,2032,5.4743,4,2022,9,Tuesday,508.0,0.002694045275590551
o85B1rqW7fY,Cat V/S Brush | #catofegypt #shorts #cats,2022-08-29,2029,6.5455,9,2022,8,Monday,225.44444444444446,0.003225973385904386
GK3idE5YL90,"Preparations been made, he's waiting🐱 | #catofegypt #shorts #cats",2022-10-05,2029,5.003,9,2022,10,Wednesday,225.44444444444446,0.002465746673238048
YfENoLa3Akk,Cat of Egypt: is unbothered about everything😊 | #catofegypt  #shorts  #cats,2022-09-24,1990,6.9904,10,2022,9,Saturday,199.0,0.0035127638190954776
ZMzi5kjI7yw,Watch catto turn into😳😱😈...| #catofegypt #shorts #cats,2022-11-05,1922,5.3187,3,2022,11,Saturday,640.6666666666666,0.0027672736732570237
sr910CspQAQ,ninuninuninu🐱♥️ | #catofegypt #shorts #cats,2022-10-26,1911,5.2841,15,2022,10,Wednesday,127.4,0.0027650968079539506
FpfzTjw8fcg,Demon kitty👿💥 | #shorts #catofegypt #cats,2022-10-04,1859,6.8436,9,2022,10,Tuesday,206.55555555555554,0.0036813340505648198
 -RajvrHilfw,Cat of egypt: Evidence of him being a cow | #catofegypt #shorts #cats,2022-09-26,1802,6.0218,9,2022,9,Monday,200.22222222222223,0.00334173140954495
UJUowbgLYkE,Cat of Egypt: When Your Cat sits like a Loaf| #catofegypt #shorts #catvideos #trending,2022-05-05,1799,4.2696,7,2022,5,Thursday,257.0,0.0023733185102834905
SB43Za4Pb5A,Cat of Egypt's secret tip to Look Stunning in just 3 Seconds| #catofegypt #shorts #diy,2022-09-10,1740,4.711,5,2022,9,Saturday,348.0,0.002707471264367816
PrlQrkolB4k,Truth has been spoken 😤🤫 | #catofegypt #shorts,2022-10-28,1690,6.6098,4,2022,10,Friday,422.5,0.003911124260355029
J4Od7VZhEVw,Cat of Egypt: Slay×Krono dancin remix| #catofegypt #shorts #cats #krono #dancinkronoremix,2022-04-03,1680,6.9824,5,2022,4,Sunday,336.0,0.0041561904761904765
ZchM3TZimoY,Ayo Wassup Bro 🐱| #catofegypt #shorts #cats,2022-10-08,1661,3.9837,5,2022,10,Saturday,332.2,0.00239837447320891
AXsvHXetsJw,Oscar has no business being this Adorable😤🥺🤌 | #shorts #catofegypt #cats,2022-11-10,1658,5.0786,3,2022,11,Thursday,552.6666666666666,0.0030630880579010857
JQ4_816hmiU,Cat of Egypt: Edamame version| #shorts #cats #catofegypt #edamame #bbno #richbrian,2021-11-17,1631,4.9054,0,2021,11,Wednesday,0.0,0.003007602697731453
yYg_fH-36wk,Cat of Egypt's reaction to today's match | #catofegypt #yt20 #shorts,2022-10-23,1500,4.491,3,2022,10,Sunday,500.0,0.0029939999999999997
HVoNl3LrkhU,Cat of Egypt wishes you Happy Belated Birthday 🎂 | #shorts #catofegypt #cats,2022-09-19,1432,4.1978,4,2022,9,Monday,358.0,0.0029314245810055867
oLN21Y_u09U,Cat Gods of Egypt: This audio is supposed to remind the cat that they were worshipped in Egypt.,2021-09-30,1359,4.9746,6,2021,9,Thursday,226.5,0.003660485651214128
rKqmkptzXl8,Cat of Egypt can feel it coming more than Weeknd 🌚 | #catofegypt #shorts #cats #tgif,2022-09-29,1347,3.2684,7,2022,9,Thursday,192.42857142857142,0.0024264291017074982
r1LQbo5YJmc,Cat of Egypt: Emotional Prism|#shorts #emotionalprism #cats #catofegypt #trend,2021-12-23,1288,3.3155,3,2021,12,Thursday,429.3333333333333,0.0025741459627329193
NjmPGmLlPxQ,Cat of Egypt: Oscar is the Drama #shorts #oscarthecat,2021-10-06,1280,3.6902,4,2021,10,Wednesday,320.0,0.00288296875
hlDAtGi5lig,Cat of Egypt: wishes you blow the candles 🕯 | #catofegypt #shorts #happybirthday,2022-09-20,1257,4.138,8,2022,9,Tuesday,157.125,0.003291964996022275
2MmHajTZ_eU,Cat of Egypt: wants kisses on face or not? | #catofegypt #shorts #cats,2022-09-17,1240,5.4704,4,2022,9,Saturday,310.0,0.004411612903225806
I8yLmTqraOU,Sometimes He go to sleep & he cry🐱 | #catofegypt #shorts,2022-10-22,1239,2.9546,4,2022,10,Saturday,309.75,0.002384665052461663
MxdzdlR_fNM,Cat of Egypt: You can have my Sunshine| #catofegypt #shorts #cats #sunshine,2022-08-31,1237,2.4873,1,2022,8,Wednesday,1237.0,0.0020107518189167338
t0o6_0XSIGs,Cat of egypt: Hits you with that blink | #catofegypt #shorts #cats,2022-10-19,1229,2.7457,0,2022,10,Wednesday,0.0,0.002234092758340114
OuUxZJuh4is,A message from your cat of egypt🐱♥️ | #catofegypt #shorts #cats,2022-11-02,1226,3.8141,6,2022,11,Wednesday,204.33333333333334,0.003111011419249592
